team,value
2003Manchester United,40.53
2004Manchester United,0
2005Manchester United,46.52
2006Manchester United,21.51
2007Manchester United,8.28
2008Manchester United,51.21
2009Manchester United,34.02
2010Manchester United,0
2011Manchester United,10.79
2012Manchester United,43.05
2013Manchester United,59.02
2014Manchester United,67.08
2015Manchester United,131.46
2016Manchester United,48.54
2017Manchester United,124.06
2018Manchester United,137.61
2003Manchester city,38.705
2004Manchester city,8.94
2005Manchester city,0
2006Manchester city,0
2007Manchester city,2.07
2008Manchester city,60.65
2009Manchester city,117.77
2010Manchester city,104.71
2011Manchester city,131.8
2012Manchester city,55.22
2013Manchester city,15.89
2014Manchester city,94.23
2015Manchester city,51.91
2016Manchester city,126.77
2017Manchester city,160.33
2018Manchester city,203.53
2003Chelsea,0
2004Chelsea,151.425
2005Chelsea,146.79
2006Chelsea,51.66
2007Chelsea,32.74
2008Chelsea,13.81
2009Chelsea,0
2010Chelsea,23.58
2011Chelsea,94.5
2012Chelsea,57.65
2013Chelsea,75.82
2014Chelsea,47.63
2015Chelsea,0
2016Chelsea,2.71
2017Chelsea,21.96
2018Chelsea,54
2003Liverpool,18
2004Liverpool,14.09
2005Liverpool,30.45
2006Liverpool,22.51
2007Liverpool,72.5
2008Liverpool,40.9
2009Liverpool,22.95
2010Liverpool,0
2011Liverpool,0
2012Liverpool,39.26
2013Liverpool,54.13
2014Liverpool,22.95
2015Liverpool,46.95
2016Liverpool,31.36
2017Liverpool,0
2018Liverpool,0
2003Arsenal,2.25
2004Arsenal,26.615
2005Arsenal,7.72
2006Arsenal,18.9
2007Arsenal,1.78
2008Arsenal,0
2009Arsenal,12.92
2010Arsenal,0
2011Arsenal,12.06
2012Arsenal,0
2013Arsenal,0
2014Arsenal,33.39
2015Arsenal,82.06
2016Arsenal,21.6
2017Arsenal,86.98
2018Arsenal,0